year,month,day,Temperature,ALLSKY_SFC_UV_INDEX,Precipitation,wind_pressure
1981,5,28,26.62,-999,4.61,97.87
1981,5,29,26.33,-999,9.57,97.87
1981,5,30,25.43,-999,28.98,97.93
1981,5,31,25.07,-999,10.03,97.98
1981,6,1,24.58,-999,23.61,98.12
1981,6,2,24.73,-999,17.19,98.13
1981,6,3,25.01,-999,48.94,98.1
1981,6,4,24.51,-999,66.16,98.07
1981,6,5,24.07,-999,45.17,98.05
1981,6,6,23.95,-999,36.87,98.12
1981,6,7,24.33,-999,31.03,98.1
1981,6,8,25.02,-999,21.52,98.08
1981,6,9,25.23,-999,8.38,98.07
1981,6,10,24.95,-999,3.06,98.02
1981,6,11,24.8,-999,22.61,98.04
1981,6,12,24.58,-999,40.07,98.04
1981,6,13,23.97,-999,17.32,97.86
1981,6,14,24.1,-999,16.47,97.76
1981,6,15,23.73,-999,15.48,97.8
1981,6,16,23.84,-999,21.24,97.82
1981,6,17,24.33,-999,24.98,97.83
1981,6,18,23.81,-999,1.7,97.96
1981,6,19,24.38,-999,1.81,97.89
1981,6,20,24.93,-999,3.21,97.7
1981,6,21,24.79,-999,3.51,97.64
1981,6,22,23.89,-999,4.28,97.7
1981,6,23,23.62,-999,3.57,97.89
1981,6,24,23.76,-999,6.68,97.97
1981,6,25,22.85,-999,2.82,98.02
1981,6,26,23.23,-999,0.91,97.97
1981,6,27,23.65,-999,0.02,97.98
1981,6,28,23.07,-999,0,98.18
1981,6,29,23.81,-999,0,98.22
1981,6,30,24.33,-999,0,98.1
1981,7,1,24.19,-999,0,98.07
1981,7,2,24.09,-999,0,98.07
1981,7,3,24.46,-999,0,98.13
1981,7,4,24.93,-999,0,98.07
1981,7,5,24.32,-999,10.5,98.05
1981,7,6,24.17,-999,30.54,98.05
1981,7,7,24.47,-999,11.67,98.03
1981,7,8,24.3,-999,2.34,98.01
1981,7,9,24.65,-999,0.62,97.95
1981,7,10,24.79,-999,3.84,97.93
1981,7,11,24.02,-999,21.89,97.96
1981,7,12,24.19,-999,6.86,98.01
1981,7,13,24.14,-999,0.04,98.06
1981,7,14,24.04,-999,0.26,98.04
1981,7,15,24.08,-999,1.11,98.01
1981,7,16,23.54,-999,6.07,98.01
1981,7,17,24.3,-999,5.64,98
1981,7,18,24.5,-999,1.39,97.93
1981,7,19,24.73,-999,2.86,97.87
1981,7,20,23.92,-999,1.29,97.91
1981,7,21,24.36,-999,0.14,97.86
1981,7,22,24.01,-999,2.31,97.82
1981,7,23,24.04,-999,12.18,97.77
1981,7,24,23.9,-999,17.46,97.82
1981,7,25,23.4,-999,9.85,97.97
1981,7,26,24.05,-999,7.59,98.04
1981,7,27,23.57,-999,11.17,97.99
1981,7,28,23.48,-999,4.51,97.92
1981,7,29,24.19,-999,3.6,97.96
1981,7,30,24.19,-999,3.65,97.98
1981,7,31,23.94,-999,0.23,97.88
1981,8,1,23.79,-999,1.19,97.86
1981,8,2,24.39,-999,4.2,97.97
1981,8,3,24.42,-999,0.25,98.09
1981,8,4,25,-999,0.16,97.99
1981,8,5,24.83,-999,0.14,97.91
1981,8,6,25.03,-999,6.5,97.95
1981,8,7,25.4,-999,2.28,97.97
1981,8,8,25.21,-999,4.28,97.9
1981,8,9,25.44,-999,8.79,97.91
1981,8,10,25.26,-999,7.62,98.02
1981,8,11,24.58,-999,6.47,98.16
1981,8,12,24.74,-999,0.45,98.11
1981,8,13,24.23,-999,0.49,98.07
1981,8,14,25.28,-999,0.24,98.05
1981,8,15,24.99,-999,2.83,98.03
1981,8,16,24.57,-999,7.99,98.07
1981,8,17,24.13,-999,43.33,98.09
1981,8,18,23.67,-999,28.41,98.08
1981,8,19,23.61,-999,19.45,98.05
1981,8,20,24.15,-999,3.51,98.09
1981,8,21,24.6,-999,4.63,98.07
1981,8,22,23.85,-999,22.84,98.02
1981,8,23,23.87,-999,3.24,98.13
1981,8,24,24.3,-999,0.19,98.2
1981,8,25,24.52,-999,0.17,98.18
1981,8,26,24.73,-999,0.01,98.11
1981,8,27,24.4,-999,2.48,98.04
1981,8,28,24.33,-999,4.49,97.9
1981,8,29,24.19,-999,1.08,97.83
1981,8,30,24.33,-999,1.16,97.89
1981,8,31,24.83,-999,0.1,97.92
1981,9,1,24.38,-999,0.6,97.95
1981,9,2,24.61,-999,0.38,97.92
1981,9,3,24.94,-999,0.02,97.87
1981,9,4,24.78,-999,2.25,97.87
1981,9,5,24.58,-999,1.85,97.98
1981,9,6,24.33,-999,5.83,98.08
1981,9,7,24.33,-999,12.96,98.05
1981,9,8,23.87,-999,22.77,98.1
1981,9,9,24.2,-999,12.46,98.04
1981,9,10,24.34,-999,4.42,98
1981,9,11,24.13,-999,15.45,97.95
1981,9,12,24.29,-999,27.27,97.88
1981,9,13,24.37,-999,9.33,97.95
1981,9,14,23.69,-999,4.53,98.1
1981,9,15,23.76,-999,5.15,98.09
1981,9,16,23.97,-999,12.81,98.08
1981,9,17,23.7,-999,85.9,97.96
1981,9,18,23.51,-999,39.88,97.94
1981,9,19,24.35,-999,17.54,97.84
1981,9,20,24.75,-999,32.26,97.89
1981,9,21,24.33,-999,145.73,97.96
1981,9,22,24.34,-999,33.55,97.98
1981,9,23,24.59,-999,2.32,97.93
1981,9,24,24.17,-999,0.55,97.89
1981,9,25,24.62,-999,0.18,97.91
1981,9,26,24.43,-999,0.07,98.02
1981,9,27,24.27,-999,0.11,98.13
1981,9,28,24.62,-999,0.02,98.13
1981,9,29,24.7,-999,0,98.11
1981,9,30,25.27,-999,0.02,98.23
1981,10,1,24.87,-999,0.03,98.23
1981,10,2,24.59,-999,1.05,98.21
1981,10,3,24.86,-999,0.06,98.15
1981,10,4,24.43,-999,5.68,98.05
1981,10,5,24.48,-999,32.62,98.02
1981,10,6,23.94,-999,2.56,98.05
1981,10,7,22.9,-999,0,98.13
1981,10,8,24.8,-999,0.15,98.19
1981,10,9,24.73,-999,0.53,98.28
1981,10,10,24.89,-999,41.6,98.21
1981,10,11,24.24,-999,16.91,98.21
1981,10,12,24.32,-999,0.08,98.26
1981,10,13,23.97,-999,0.91,98.23
1981,10,14,24.31,-999,0.25,98.08
1981,10,15,24.35,-999,0.81,98.17
1981,10,16,24.67,-999,0.53,98.21
1981,10,17,24.9,-999,0.04,98.15
1981,10,18,25.08,-999,5.45,98.1
1981,10,19,24.17,-999,3.07,98.08
1981,10,20,25.47,-999,7.7,98.12
1981,10,21,25.08,-999,0.61,98.08
1981,10,22,24.93,-999,4.08,98.03
1981,10,23,24.03,-999,7.64,98.04
1981,10,24,25.17,-999,14.62,98.17
1981,10,25,24.21,-999,29.9,98.28
1981,10,26,23.71,-999,17.64,98.17
1981,10,27,24.26,-999,18.21,98.04
1981,10,28,23.76,-999,25.89,98.09
1981,10,29,23.49,-999,37.8,98.2
1981,10,30,24.15,-999,19.41,98.14
1981,10,31,24.44,-999,14.34,98.17
1981,11,1,24.29,-999,7.22,98.27
1981,11,2,23.42,-999,6.79,98.29
1981,11,3,23.83,-999,0.46,98.14
1981,11,4,24.26,-999,0.37,98.1
1981,11,5,24.58,-999,0.08,98
1981,11,6,24.48,-999,12.83,98.02
1981,11,7,24.44,-999,68.31,97.96
1981,11,8,24.77,-999,31.67,98.1
1981,11,9,24.73,-999,33.16,98.07
1981,11,10,23.83,-999,9,98.16
1981,11,11,24.73,-999,7.39,98.28
1981,11,12,24.4,-999,35.55,98.34
1981,11,13,23.58,-999,0.07,98.37
1981,11,14,23.24,-999,0.22,98.39
1981,11,15,24.28,-999,5.49,98.33
1981,11,16,23.83,-999,1.96,98.25
1981,11,17,22.69,-999,0.54,98.22
1981,11,18,23.57,-999,0.26,98.22
1981,11,19,24.5,-999,0.01,98.16
1981,11,20,22.99,-999,0,98.24
1981,11,21,22.94,-999,0,98.25
1981,11,22,23.25,-999,0,98.23
1981,11,23,23.11,-999,0,98.21
1981,11,24,23.44,-999,8.24,98.27
1981,11,25,24.11,-999,4.87,98.19
1981,11,26,21.77,-999,16.8,98.23
1981,11,27,22.15,-999,18.18,98.22
1981,11,28,21.75,-999,2.28,98.18
1981,11,29,22.41,-999,4.9,98.12
1981,11,30,23,-999,16.48,98.28
1981,12,1,22.94,-999,2.3,98.38
1981,12,2,23.33,-999,1.97,98.38
1981,12,3,23.54,-999,1.16,98.38
1981,12,4,23.38,-999,0.63,98.42
1981,12,5,23.53,-999,0.01,98.46
1981,12,6,21.5,-999,0.2,98.46
1981,12,7,21.91,-999,0.07,98.35
1981,12,8,22.44,-999,0,98.31
1981,12,9,23.87,-999,0.05,98.36
1981,12,10,23.65,-999,0.03,98.46
1981,12,11,22.91,-999,0,98.53
1981,12,12,21.12,-999,0,98.61
1981,12,13,20.95,-999,0,98.6
1981,12,14,21.14,-999,0,98.53
1981,12,15,23.17,-999,0.02,98.42
1981,12,16,23.51,-999,2.59,98.48
1981,12,17,23.25,-999,0.52,98.46
1981,12,18,23.37,-999,1.06,98.53
1981,12,19,23.37,-999,0.75,98.54
1981,12,20,22.87,-999,6.83,98.52
1981,12,21,23.23,-999,2.13,98.53
1981,12,22,23.69,-999,0.38,98.56
1981,12,23,22.98,-999,0.02,98.57
1981,12,24,22.68,-999,0,98.54
1981,12,25,22.65,-999,0,98.42
1981,12,26,22.51,-999,0.01,98.41
1981,12,27,22.51,-999,0.01,98.42
1981,12,28,22.18,-999,0,98.37
1981,12,29,21.12,-999,0.03,98.32
1981,12,30,21.19,-999,0,98.4
1981,12,31,21.15,-999,0,98.49
1982,1,1,21.08,-999,0,98.43
1982,1,2,21.77,-999,0,98.39
1982,1,3,21.96,-999,0,98.34
1982,1,4,21.23,-999,0,98.36
1982,1,5,21.23,-999,0,98.4
1982,1,6,20.93,-999,0,98.39
1982,1,7,21.02,-999,0,98.48
1982,1,8,21.11,-999,0,98.53
1982,1,9,20.85,-999,0,98.48
1982,1,10,21.79,-999,0,98.36
1982,1,11,22.81,-999,0,98.34
1982,1,12,22.77,-999,0,98.36
1982,1,13,21.55,-999,0,98.4
1982,1,14,20.93,-999,0,98.45
1982,1,15,20.96,-999,0,98.49
1982,1,16,20.87,-999,0,98.5
1982,1,17,21.23,-999,0,98.47
1982,1,18,22.17,-999,0,98.5
1982,1,19,22.11,-999,0,98.48
1982,1,20,22.21,-999,0,98.46
1982,1,21,21.87,-999,0,98.51
1982,1,22,22.4,-999,0,98.43
1982,1,23,22.65,-999,0,98.44
1982,1,24,23.06,-999,0,98.47
1982,1,25,22.83,-999,0,98.56
1982,1,26,23.67,-999,0,98.56
1982,1,27,24.58,-999,0,98.53
1982,1,28,24.4,-999,0,98.46
1982,1,29,23.42,-999,0,98.51
1982,1,30,23.47,-999,0,98.47
1982,1,31,23.94,-999,0,98.45
1982,2,1,23.56,-999,0,98.38
1982,2,2,23.64,-999,0,98.36
1982,2,3,25.83,-999,0,98.35
1982,2,4,27.07,-999,0,98.34
1982,2,5,26.49,-999,0,98.32
1982,2,6,26.07,-999,0,98.21
1982,2,7,26.1,-999,0,98.27
1982,2,8,25.37,-999,0,98.26
1982,2,9,24.85,-999,0,98.36
1982,2,10,24.89,-999,0,98.42
1982,2,11,24.9,-999,0,98.37
1982,2,12,24.62,-999,0,98.37
1982,2,13,24.44,-999,0,98.38
1982,2,14,24.23,-999,0,98.37
1982,2,15,24.48,-999,0,98.38
1982,2,16,24.56,-999,0,98.25
1982,2,17,25.35,-999,0,98.3
1982,2,18,26.58,-999,0,98.28
1982,2,19,26.73,-999,0,98.32
1982,2,20,26.08,-999,0,98.47
1982,2,21,26.55,-999,0,98.39
1982,2,22,26.1,-999,0,98.29
1982,2,23,26.07,-999,0,98.26
1982,2,24,27.01,-999,0,98.18
1982,2,25,27.87,-999,0,98.23
1982,2,26,27.85,-999,0,98.28
1982,2,27,28.31,-999,0,98.34
1982,2,28,27.95,-999,0,98.32
1982,3,1,28.94,-999,0,98.25
1982,3,2,30.4,-999,0,98.23
1982,3,3,30.51,-999,0,98.37
1982,3,4,29.01,-999,0,98.39
1982,3,5,30.98,-999,0,98.3
1982,3,6,32.49,-999,0,98.16
1982,3,7,32.64,-999,0,98.17
1982,3,8,32.62,-999,0,98.22
1982,3,9,32.23,-999,0,98.21
1982,3,10,31.08,-999,0,98.23
1982,3,11,30.94,-999,0,98.31
1982,3,12,31.05,-999,0.03,98.28
1982,3,13,30.35,-999,0.36,98.25
1982,3,14,29.65,-999,0,98.25
1982,3,15,29.48,-999,0,98.23
1982,3,16,29.55,-999,0,98.14
1982,3,17,29.55,-999,0,98.04
1982,3,18,31.64,-999,0,98
1982,3,19,32.01,-999,0,98.03
1982,3,20,31.27,-999,0,98.06
1982,3,21,30.83,-999,0.01,98.1
1982,3,22,28.91,-999,5.75,98.16
1982,3,23,30.08,-999,0.69,98.16
1982,3,24,29.44,-999,0.21,98.17
1982,3,25,32.39,-999,0.02,98.07
1982,3,26,32.37,-999,0.19,98.03
1982,3,27,32.08,-999,0.88,98.01
1982,3,28,29.69,-999,18.41,98.13
1982,3,29,29.55,-999,1.5,98.29
1982,3,30,28.9,-999,1.26,98.39
1982,3,31,29.35,-999,5.83,98.22
1982,4,1,30.08,-999,0.57,98.12
1982,4,2,31.15,-999,0,98.15
1982,4,3,31.6,-999,0,98.15
1982,4,4,31.4,-999,0,98.11
1982,4,5,32.37,-999,0,98.06
1982,4,6,31.53,-999,0,98.24
1982,4,7,31.76,-999,0.01,98.36
1982,4,8,32.64,-999,0.01,98.28
1982,4,9,33.48,-999,0.01,98.17
1982,4,10,32.65,-999,0.07,98.12
1982,4,11,33.03,-999,0.1,98.08
1982,4,12,30.54,-999,16.44,98.14
1982,4,13,30.19,-999,8.05,98.03
1982,4,14,31.2,-999,0.42,98.05
1982,4,15,29.18,-999,0.61,98.07
1982,4,16,30.63,-999,0.1,97.99
1982,4,17,31.05,-999,0.04,97.83
1982,4,18,29.21,-999,0,97.85
1982,4,19,27.9,-999,67.56,97.91
1982,4,20,29.16,-999,4.23,97.94
1982,4,21,25.9,-999,57.23,98.15
1982,4,22,26.24,-999,16.45,98.17
1982,4,23,25.94,-999,52.62,98.14
1982,4,24,25.86,-999,0.8,98.05
1982,4,25,26.01,-999,0,97.96
1982,4,26,26.65,-999,40.97,97.98
1982,4,27,25.18,-999,8.44,98
1982,4,28,25.36,-999,0.01,97.97
1982,4,29,26.9,-999,0.52,98.02
1982,4,30,26.37,-999,0.07,98.05
1982,5,1,26.37,-999,0.28,98.15
1982,5,2,26.09,-999,9.94,98.2
1982,5,3,25.77,-999,2.18,98.26
1982,5,4,26.44,-999,0.01,98.22
1982,5,5,26.18,-999,0.01,98.26
1982,5,6,26.23,-999,2.08,98.22
1982,5,7,26.55,-999,0.01,98.19
1982,5,8,26.35,-999,0.87,98.16
1982,5,9,27.44,-999,0.05,98.11
1982,5,10,25.24,-999,35.13,98.15
1982,5,11,26.3,-999,1.34,98.06
1982,5,12,26.66,-999,2.78,98.07
1982,5,13,26.11,-999,3.4,98.05
1982,5,14,25.82,-999,1.81,98.02
1982,5,15,26.26,-999,0.18,98.07
1982,5,16,25.88,-999,27,98.21
1982,5,17,26.51,-999,5.64,98.19
1982,5,18,26.98,-999,25.85,98.16
1982,5,19,27.36,-999,7.53,98.16
1982,5,20,27.04,-999,1.74,98.16
1982,5,21,27.12,-999,13.25,98.04
1982,5,22,26.76,-999,8.98,97.93
1982,5,23,25.59,-999,2.97,97.86
1982,5,24,26.89,-999,0.56,97.83
1982,5,25,27.01,-999,0.5,97.82
1982,5,26,26.23,-999,0.09,97.89
1982,5,27,25.98,-999,0.99,97.84
1982,5,28,25.03,-999,113.13,97.82
1982,5,29,25.2,-999,19,97.79
1982,5,30,25.46,-999,1.13,97.85
1982,5,31,24.89,-999,15.15,97.91
1982,6,1,25.04,-999,13.06,97.86
1982,6,2,25.21,-999,27.96,97.81
1982,6,3,24.42,-999,62.52,97.85
1982,6,4,23.75,-999,26.17,97.97
1982,6,5,23.99,-999,29.56,97.97
1982,6,6,23.94,-999,32.09,97.89
1982,6,7,24.64,-999,8.37,97.84
1982,6,8,24.45,-999,1.96,97.86
1982,6,9,22.55,-999,42.9,97.82
1982,6,10,24.26,-999,20.76,97.78
1982,6,11,24.47,-999,13.59,97.82
1982,6,12,24.03,-999,1.8,97.95
1982,6,13,24.11,-999,0,97.92
1982,6,14,23.95,-999,7.14,97.91
1982,6,15,23.9,-999,2.63,98.04
1982,6,16,23.9,-999,36.94,98.16
1982,6,17,23.54,-999,15.31,98.17
1982,6,18,23.98,-999,30.29,98.18
1982,6,19,24.1,-999,75.37,98.16
1982,6,20,24.34,-999,20.71,98.19
1982,6,21,24.61,-999,17.27,98.24
1982,6,22,24.37,-999,16.47,98.19
1982,6,23,23.7,-999,1.22,98.15
1982,6,24,23.09,-999,14.03,98.19
1982,6,25,23.6,-999,8.91,98.14
1982,6,26,24.08,-999,18.28,98.12
1982,6,27,23.62,-999,21.58,98.05
1982,6,28,23.18,-999,4.94,98.03
1982,6,29,24.3,-999,0.21,98.09
1982,6,30,23.81,-999,0.05,98.13
1982,7,1,23.76,-999,0,98.01
1982,7,2,24.46,-999,0.03,97.93
1982,7,3,24.44,-999,0.29,98
1982,7,4,24.31,-999,2.47,98.12
1982,7,5,24.6,-999,0.63,98.09
1982,7,6,23.94,-999,20.06,98.02
1982,7,7,23.62,-999,33.26,98.02
1982,7,8,23.67,-999,3.94,97.96
1982,7,9,23.13,-999,5.69,97.92
1982,7,10,23.53,-999,2.01,97.95
1982,7,11,23.7,-999,0.64,97.93
1982,7,12,23.65,-999,7.51,97.94
1982,7,13,24.35,-999,14.49,97.92
1982,7,14,23.67,-999,5.08,97.98
1982,7,15,23.7,-999,3.37,98.06
1982,7,16,23.66,-999,1.17,98.03
1982,7,17,23.76,-999,11.75,97.92
1982,7,18,22.69,-999,25.78,97.88
1982,7,19,23.36,-999,6.09,97.84
1982,7,20,23.85,-999,2.2,97.94
1982,7,21,23.64,-999,14.14,97.99
1982,7,22,23.07,-999,3.19,98.06
1982,7,23,23.68,-999,0.24,98.1
1982,7,24,24.02,-999,1.7,98.19
1982,7,25,23.26,-999,0.27,98.19
1982,7,26,23.58,-999,0,98.14
1982,7,27,23.73,-999,4.02,98.13
1982,7,28,23.99,-999,8.29,98.11
1982,7,29,23.23,-999,20.09,98.13
1982,7,30,23.7,-999,3.18,98.07
1982,7,31,23.92,-999,11.67,98.01
1982,8,1,23.19,-999,14.74,97.98
1982,8,2,22.8,-999,8.73,98.08
1982,8,3,23.53,-999,0.94,98.15
1982,8,4,23.96,-999,4.55,98.09
1982,8,5,24.36,-999,0.23,97.99
1982,8,6,25.05,-999,0,97.88
1982,8,7,23.73,-999,13.23,98.01
1982,8,8,24.13,-999,4.54,98.06
1982,8,9,24.14,-999,1.69,98.03
1982,8,10,23.88,-999,2.65,98.07
1982,8,11,23.48,-999,18.76,98.05
1982,8,12,23.65,-999,4.54,98.02
1982,8,13,23.34,-999,11.03,98.04
1982,8,14,23.72,-999,10.16,98.11
1982,8,15,23.42,-999,3.74,98.14
1982,8,16,23.51,-999,7.38,98.06
1982,8,17,23.45,-999,3.35,98.08
1982,8,18,23.14,-999,5.56,98.16
1982,8,19,23.94,-999,0.4,98.1
1982,8,20,24.28,-999,0.03,98.1
1982,8,21,23.65,-999,5.08,98.12
1982,8,22,24.01,-999,0.71,98.15
1982,8,23,23.24,-999,3.51,98.13
1982,8,24,24.14,-999,1.51,98.14
1982,8,25,23.86,-999,7.18,98.15
1982,8,26,24.17,-999,5.47,98.09
1982,8,27,24.05,-999,0.27,98.09
1982,8,28,24.8,-999,0.04,98.11
1982,8,29,24.48,-999,0,98.06
1982,8,30,23.55,-999,0,98.14
1982,8,31,24.64,-999,0,98.17
1982,9,1,25.3,-999,0,98.17
1982,9,2,25.26,-999,2.51,98.14
1982,9,3,24.42,-999,0,98.16
1982,9,4,24.36,-999,0.05,98.18
1982,9,5,24.76,-999,0,98.14
1982,9,6,24.59,-999,0,98.13
1982,9,7,24.12,-999,0.06,98.11
1982,9,8,23.87,-999,0.54,98.01
1982,9,9,23.05,-999,0.02,97.98
1982,9,10,24.14,-999,0,98
1982,9,11,24.73,-999,1.83,98.02
1982,9,12,24.69,-999,3.56,98.01
1982,9,13,24.3,-999,1.85,97.96
1982,9,14,23.83,-999,2.12,98.03
1982,9,15,24.7,-999,1.8,98.12
1982,9,16,25.01,-999,2.31,98.1
1982,9,17,24.79,-999,0.09,98.08
1982,9,18,25.52,-999,0.07,98.02
1982,9,19,24.32,-999,0.29,98.1
1982,9,20,23.82,-999,2.19,98.24
1982,9,21,24.48,-999,0.08,98.31
1982,9,22,24.69,-999,0.09,98.21
1982,9,23,24.64,-999,3.33,98.14
1982,9,24,24.2,-999,2.27,98.16
1982,9,25,24.69,-999,0.48,98.17
1982,9,26,25.02,-999,0,98.22
1982,9,27,24.59,-999,0.11,98.24
1982,9,28,24.21,-999,0.02,98.28
1982,9,29,24.26,-999,0.01,98.32
1982,9,30,25.12,-999,0,98.26
1982,10,1,25.54,-999,0,98.27
1982,10,2,24.55,-999,0.94,98.41
1982,10,3,24.79,-999,7.25,98.49
1982,10,4,24.95,-999,4.7,98.41
1982,10,5,25.56,-999,0.09,98.35
1982,10,6,24.65,-999,14.77,98.44
1982,10,7,25.71,-999,16.18,98.43
1982,10,8,24.01,-999,4.45,98.35
1982,10,9,26.05,-999,1.33,98.24
1982,10,10,26.24,-999,0.18,98.28
1982,10,11,24.52,-999,1.4,98.33
1982,10,12,25.83,-999,0.29,98.23
1982,10,13,26.13,-999,10.99,98.26
1982,10,14,26.02,-999,19.52,98.27
1982,10,15,26.15,-999,5.14,98.15
1982,10,16,24.21,-999,3.62,98.08
1982,10,17,24.69,-999,0.52,98.01
1982,10,18,24,-999,3.11,98.15
1982,10,19,25.01,-999,1.4,98.13
1982,10,20,24.9,-999,0.1,98.06
1982,10,21,25.19,-999,0.01,98
1982,10,22,25.53,-999,0.01,98.02
1982,10,23,26.27,-999,0.01,98.2
1982,10,24,23.3,-999,3.94,98.41
1982,10,25,24.94,-999,9.52,98.23
1982,10,26,23.58,-999,13.71,98.15
1982,10,27,24.61,-999,2.86,98.24
1982,10,28,23.9,-999,13.75,98.4
1982,10,29,24.85,-999,2.37,98.38
1982,10,30,25.12,-999,0.01,98.27
1982,10,31,24.15,-999,0.25,98.2
1982,11,1,24.85,-999,0.47,98.12
1982,11,2,23.14,-999,4.63,98.09
1982,11,3,22.87,-999,38.63,98.17
1982,11,4,23.88,-999,35.44,98.26
1982,11,5,24.15,-999,24.44,98.14
1982,11,6,25.16,-999,2.98,98.09
1982,11,7,24.5,-999,0.11,98.2
1982,11,8,24.75,-999,0.6,98.28
1982,11,9,25.03,-999,3,98.31
1982,11,10,24.13,-999,0.71,98.33
